,AUDIT_COMMITTEE_MEETINGS,SAY_PAY_SUPPORT_LEVEL,TOT_OTHER_COMP_AW_TO_CEO_&_EQUIV,TOTAL_EXEC_PAY_AS_PCT_OPEX,TOT_SALARIES_PAID_TO_CEO_&_EQUIV,TOT_SALARIES_&_BNS_PD_TO_EXECS,TOT_N_EQTY_INCENT_GIVEN_TO_EXECS,SAY_PAY_NUMBER_OF_VOTES_FOR,TOT_EXEC_PAY_AS_PCT_SG&A_NET_R&D,TOT_OPTION_AWARDS_GIVEN_TO_EXECS,TOT_EXEC_PAY_AS_PCT_TOT_PSNL_EXP,TOT_N_EQT_INCENT_GVN_TO_CEO_&_EQ,PCT_BOD_COMP_PD_IN_STK_AWD,NUM_EXECUTIVE_CHANGES,AVERAGE_BOD_TOTAL_COMPENSATION,ESG_DISCLOSURE_SCORE,CFO_TENURE_AS_OF_FY_END,CHG_OF_CTRL_BFIT_GOLD_CHUTE_AGR,CLAWBACK_PROVISION_FOR_EXEC_COMP,GENDER_PAY_GAP_BREAKOUT,BLANK_CHECK_PREFERRED_AUTHORIZED,Dates,Entreprises
61,6.0,92.4494491420289,77105.79908371653,0.1758860938051388,1445755.135194429,9119055.806614265,0.0,1475.8671454954929,0.20168091422113466,2173740.816472804,0.37742355268225053,0.0,0.7163676156884026,3.4248428460279543,101663.08327318296,50.2075,2.3568826508339273,0.08543453658982336,0.07839257779231128,0.0,0.6042223161105524,2006-12-31,25
62,6.0,95.63075978341259,23939.041857973236,0.0061,2343286.0,4724535.0,3088212.2246163418,3888.8680609458943,0.0062,186998.57164607465,0.113,2602593.6808486166,0.0,2.0,84249.2,52.6971,3.129119182227834,0.32322570594688765,0.0,0.0,0.0,2007-12-31,25
63,7.0,97.22330434373472,517397.87733577413,0.0027,1250000.0,2746335.0,1064157.8263074318,3800.9829296942567,0.0027,2736.567652130877,0.0603,859841.8773761365,5.7222596437552955,0.0,74129.6667,48.5477,4.921075411752187,0.8008240441065925,0.0,0.0,8.90908317840669e-11,2008-12-31,25
64,6.0,96.47986618158777,69082.42051945326,0.0043,1310000.0,2862875.0,757052.2447880821,3333.2475232803386,0.0044,7102.786235909601,0.0686,611699.8882479176,2.927750518928838,0.0,90874.6154,53.9419,5.128067021864972,0.2289753218087499,0.0,0.0,6.602258929243928e-10,2009-12-31,25
65,6.0,95.46939466651219,21600.374038391572,0.0049,1426452.0,3534850.0,570833.1407644297,1468.9502754794719,0.0049,266080.62521899445,0.0955,461234.4403146884,0.0,1.0,75942.8462,56.8465,2.445422505020217,0.4180343742073346,0.0,0.0,7.266568823905821e-10,2010-12-31,25
66,6.0,97.6968341329909,55970.197764685094,0.0029,1500000.0,3081670.0,1007997.9195519091,1517.9063572964155,0.0029,5342.966107204428,0.0632,814464.548502377,2.256474470821051,0.0,108263.6875,56.0166,3.4129148231472493,0.3563008391661262,0.0,0.0,6.309777843938942e-10,2011-12-31,25
67,8.0,99.369,81638.589308191,0.0024,1500000.0,3030000.0,766063.3043867118,1423.37,0.0025,4976.166630753535,0.0552,618980.8443344029,1.44499048703642,0.0,111135.8125,55.6017,4.059059988361072,0.0,0.0,0.0,6.301413774588833e-10,2012-12-31,25
68,7.0,99.369,71787.23537309888,0.0024,1500000.0,0.0,3017321.6188192377,1423.37,0.0025,0.0,0.0552,2438002.5417617117,18.484608717723575,0.0,9796.1875,60.166,2.0824221145818065,1.0,0.0,0.0,6.80224834252237e-11,2013-12-31,25
69,7.0,99.369,23819.206378054485,0.0029,1441644.0,3428844.0,835382.3737922276,1423.37,0.0029,199955.0299007698,0.06,674990.8057349839,0.0,2.0,87107.1429,60.166,2.757554922166401,1.0,0.0,0.0,1.8449280725058052e-09,2014-12-31,25
70,7.0,99.369,36390.0,0.0013,1200000.0,1495469.0,0.0,1423.37,0.0013,4328.303979103857,0.023,0.0,0.0,0.0,94381.7333,60.9959,5.016552680293569,1.0,0.0,0.0,5.734937719279779e-10,2015-12-31,25
71,7.0,99.369,58945.0,0.0032,1400000.0,3214400.0,912630.7285574758,1423.37,0.0032,3729.094556907024,0.0474,737407.6472443372,1.8792571386791093,0.0,95305.1333,60.9959,3.0000000466064267,1.0,0.0,0.0,3.993059173336693e-09,2016-12-31,25
72,7.0,81.955,67976.0,0.0036,1400000.0,3739400.0,380346.35368845455,1491.3,0.0036,434379.57255329133,0.0635,307320.69503585895,0.0,0.0,82497.1429,66.805,1.6998939889254217,1.0,0.0,1.0,1.513838505653175e-08,2017-12-31,25
73,7.0,92.951,69232.0,0.0031,1400000.0,3800300.0,417032.72287134867,1691.02,0.0031,441924.7524973273,0.0573,336963.36247908144,0.0,0.0,109348.8333,63.4855,1.7345393481601215,1.0,0.0,1.0,1.270912062308651e-08,2018-12-31,25
74,7.0,91.783,67625.0,0.0025,1400000.0,3125900.0,752259.8298673426,1600.05,0.0025,4172.0309195058235,0.0444,607827.6063920273,0.0,0.0,114294.6429,65.5602,3.0352197571399095,1.0,0.0,1.0,1.2123287710238697e-08,2019-12-31,25
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005-12-31,14
